"iter","algo","resu","Val"
"1","BM","sol",6200.764
"1","BM","time",0.085000041872263
"1","BM","cpu",0.064
"1","BM","nodes",176
"1","BM","LB",6200.764
"1","HR","sol",6200.764
"1","HR","time",0.0630000606179237
"1","HR","cpu",0.031
"1","HR","LB",6200.764
"1","DB_BM","sol",6200.764
"1","DB_BM","time",0.0630000606179237
"1","DB_BM","cpu",0.031
"1","DB_BM","LB",6200.764
"1","DB_HR","sol",6200.764
"1","DB_HR","time",188.022988778539
"1","DB_HR","cpu",15.1659999999998
"1","DB_HR","nodes",1479
"1","DB_HR","LB",6200.764
"1","DB_HR","first",639
"1","DB_HR","best",1479
"1","DB_BM2","sol",6200.764
"1","DB_BM2","time",188.022988778539
"1","DB_BM2","cpu",15.1659999999998
"1","DB_BM2","nodes",1479
"1","DB_BM2","LB",6200.764
"1","DB_BM2","first",639
"1","DB_BM2","best",1479
"1","DB_HR2","sol",6200.764
"1","DB_HR2","time",196.248993999325
"1","DB_HR2","cpu",15.8609999999999
"1","DB_HR2","nodes",1570
"1","DB_HR2","LB",6200.764
"1","DB_HR2","first",639
"1","DB_HR2","best",1563
"2","BM","sol",4661.786
"2","BM","time",0.0980003736913204
"2","BM","cpu",0.077
"2","BM","nodes",236
"2","BM","LB",4658.73927550106
"2","HR","sol",4661.78600000001
"2","HR","time",0.160999805666506
"2","HR","cpu",0.127
"2","HR","LB",4661.37172093023
"2","DB_BM","sol",4661.78600000001
"2","DB_BM","time",0.160999805666506
"2","DB_BM","cpu",0.127
"2","DB_BM","LB",4661.37172093023
"2","DB_BM","first",639
"2","DB_BM","best",1563
"2","DB_HR","sol",4661.786
"2","DB_HR","time",2331.13699746318
"2","DB_HR","cpu",118.532000000006
"2","DB_HR","nodes",14535
"2","DB_HR","LB",4620.062
"2","DB_HR","first",14334
"2","DB_HR","best",14524
"2","DB_BM2","sol",4661.786
"2","DB_BM2","time",2331.13699746318
"2","DB_BM2","cpu",118.532000000006
"2","DB_BM2","nodes",14535
"2","DB_BM2","LB",4620.062
"2","DB_BM2","first",14334
"2","DB_BM2","best",14524
"2","DB_HR2","sol",4661.786
"2","DB_HR2","time",2374.49398858007
"2","DB_HR2","cpu",121.622000000006
"2","DB_HR2","nodes",14598
"2","DB_HR2","LB",4620.062
"2","DB_HR2","first",14334
"2","DB_HR2","best",14578
"3","BM","sol",6396.069
"3","BM","time",0.105000310577452
"3","BM","cpu",0.084
"3","BM","nodes",138
"3","BM","LB",6390.05891525251
"3","HR","sol",6396.069
"3","HR","time",0.0909998081624508
"3","HR","cpu",0.057
"3","HR","LB",6396.069
"3","DB_BM","sol",6396.069
"3","DB_BM","time",0.0909998081624508
"3","DB_BM","cpu",0.057
"3","DB_BM","LB",6396.069
"3","DB_BM","first",14334
"3","DB_BM","best",14578
"3","DB_HR","sol",6396.069
"3","DB_HR","time",473.877009982243
"3","DB_HR","cpu",33.3400000000005
"3","DB_HR","nodes",3309
"3","DB_HR","LB",6173.232
"3","DB_HR","first",2856
"3","DB_HR","best",3298
"3","DB_BM2","sol",6396.069
"3","DB_BM2","time",473.877009982243
"3","DB_BM2","cpu",33.3400000000005
"3","DB_BM2","nodes",3309
"3","DB_BM2","LB",6173.232
"3","DB_BM2","first",2856
"3","DB_BM2","best",3298
"3","DB_HR2","sol",6396.069
"3","DB_HR2","time",478.504007239826
"3","DB_HR2","cpu",33.6360000000005
"3","DB_HR2","nodes",3327
"3","DB_HR2","LB",6396.069
"3","DB_HR2","first",2856
"3","DB_HR2","best",3307
"4","BM","sol",5662.573
"4","BM","time",0.110999448224902
"4","BM","cpu",0.087
"4","BM","nodes",200
"4","BM","LB",5662.573
"4","HR","sol",5662.573
"4","HR","time",0.139999995008111
"4","HR","cpu",0.102
"4","HR","LB",5662.573
"4","DB_BM","sol",5662.573
"4","DB_BM","time",0.139999995008111
"4","DB_BM","cpu",0.102
"4","DB_BM","LB",5662.573
"4","DB_BM","first",2856
"4","DB_BM","best",3307
"4","DB_HR","sol",5662.573
"4","DB_HR","time",1024.22499801032
"4","DB_HR","cpu",60.6140000000013
"4","DB_HR","nodes",6723
"4","DB_HR","LB",5448.7445
"4","DB_HR","first",4861
"4","DB_HR","best",6722
"4","DB_BM2","sol",5662.573
"4","DB_BM2","time",1024.22499801032
"4","DB_BM2","cpu",60.6140000000013
"4","DB_BM2","nodes",6723
"4","DB_BM2","LB",5448.7445
"4","DB_BM2","first",4861
"4","DB_BM2","best",6722
"4","DB_HR2","sol",5662.573
"4","DB_HR2","time",1013.63999205641
"4","DB_HR2","cpu",59.9260000000014
"4","DB_HR2","nodes",6723
"4","DB_HR2","LB",5448.7445
"4","DB_HR2","first",4861
"4","DB_HR2","best",6722
"5","BM","sol",7846.81
"5","BM","time",0.0960000324994326
"5","BM","cpu",0.073
"5","BM","nodes",193
"5","BM","LB",7846.81
"5","HR","sol",7846.81
"5","HR","time",0.145999761298299
"5","HR","cpu",0.108
"5","HR","nodes",6
"5","HR","LB",7840.00125
"5","DB_BM","sol",7846.81
"5","DB_BM","time",0.145999761298299
"5","DB_BM","cpu",0.108
"5","DB_BM","nodes",6
"5","DB_BM","LB",7840.00125
"5","DB_BM","first",4861
"5","DB_BM","best",6722
