"iter","algo","resu","Val"
"1","BM","sol",-98.697546146805
"1","BM","time",1.97999957017601
"1","BM","cpu",1.903
"1","BM","nodes",850
"1","BM","LB",-98.6975461468044
"1","HR","sol",-98.6975461468045
"1","HR","time",72.6329997181892
"1","HR","cpu",72.525
"1","HR","nodes",841
"1","HR","LB",-98.6975461468043
"1","DB_BM","sol",-98.6975461468045
"1","DB_BM","time",97.2319987602532
"1","DB_BM","cpu",8.22099999999998
"1","DB_BM","nodes",843
"1","DB_BM","LB",-199.834590443745
"1","DB_BM","first",802
"1","DB_BM","best",817
"1","DB_HR","sol",-98.6975461468046
"1","DB_HR","time",117.357002128847
"1","DB_HR","cpu",23.1209999999997
"1","DB_HR","nodes",843
"1","DB_HR","LB",-191.502119185751
"1","DB_HR","first",802
"1","DB_HR","best",817
