"iter","algo","resu","Val"
"1","BM","sol",6200.764
"1","BM","time",0.153999868780375
"1","BM","cpu",0.111
"1","BM","nodes",94
"1","BM","LB",6197.7426851826
"1","HR","sol",6200.764
"1","HR","time",0.159000093117356
"1","HR","cpu",0.086
"1","HR","LB",6200.764
"1","DB_BM","sol",6200.764
"1","DB_BM","time",7045.07303677965
"1","DB_BM","cpu",92.9360000000052
"1","DB_BM","nodes",12556
"1","DB_BM","LB",6016.054
"1","DB_BM","first",6506
"1","DB_BM","best",12423
"1","DB_HR","sol",6200.764
"1","DB_HR","time",770.47198957298
"1","DB_HR","cpu",35.681
"1","DB_HR","nodes",1479
"1","DB_HR","LB",6200.764
"1","DB_HR","first",639
"1","DB_HR","best",1479
"2","BM","sol",4661.786
"2","BM","time",0.966000091284513
"2","BM","cpu",0.226
"2","BM","nodes",284
"2","BM","LB",4661.786
"2","HR","sol",4661.786
"2","HR","time",0.805999827571213
"2","HR","cpu",0.342
"2","HR","nodes",4
"2","HR","LB",4657.72536416619
"2","DB_BM","sol",10000000000
"2","DB_BM","time",7200.57499583345
"2","DB_BM","cpu",87.801000000002
"2","DB_BM","nodes",11577
"2","DB_BM","LB",2611.32
"2","DB_HR","sol",10000000000
"2","DB_HR","time",7200.5639367504
"2","DB_HR","cpu",187.891000000004
"2","DB_HR","nodes",9604
"2","DB_HR","LB",4499.528
"3","BM","sol",6396.069
"3","BM","time",0.970999686978757
"3","BM","cpu",0.229
"3","BM","nodes",123
"3","BM","LB",6396.069
"3","HR","sol",6396.069
"3","HR","time",0.895000551827252
"3","HR","cpu",0.15
"3","HR","LB",6396.069
"3","DB_BM","sol",10000000000
"3","DB_BM","time",7200.37599143106
"3","DB_BM","cpu",66.3110000000007
"3","DB_BM","nodes",8221
"3","DB_BM","LB",3712.83802853727
"3","DB_HR","sol",6396.069
"3","DB_HR","time",3309.05501281377
"3","DB_HR","cpu",89.5020000000019
"3","DB_HR","nodes",4369
"3","DB_HR","LB",6173.232
"3","DB_HR","first",4084
"3","DB_HR","best",4358
"4","BM","sol",5662.573
"4","BM","time",0.492999865673482
"4","BM","cpu",0.245
"4","BM","nodes",255
"4","BM","LB",5662.573
"4","HR","sol",5662.573
"4","HR","time",0.747999991290271
"4","HR","cpu",0.245
"4","HR","LB",5662.573
"4","DB_BM","sol",10000000000
"4","DB_BM","time",7200.14900048263
"4","DB_BM","cpu",100.028000000002
"4","DB_BM","nodes",13588
"4","DB_BM","LB",3977.184
"4","DB_HR","sol",5662.573
"4","DB_HR","time",3576.54703217559
"4","DB_HR","cpu",126.162000000004
"4","DB_HR","nodes",6743
"4","DB_HR","LB",5448.7445
"4","DB_HR","first",4891
"4","DB_HR","best",6742
"5","BM","sol",7846.81
"5","BM","time",0.27499976567924
"5","BM","cpu",0.082
"5","BM","nodes",161
"5","BM","LB",7846.81
"5","HR","sol",7846.81
"5","HR","time",0.635000201873481
"5","HR","cpu",0.287
"5","HR","nodes",2
"5","HR","LB",7846.81
"5","DB_BM","sol",7846.81
"5","DB_BM","time",3599.24402420875
"5","DB_BM","cpu",48.5429999999993
"5","DB_BM","nodes",6945
"5","DB_BM","LB",7118.81
"5","DB_BM","first",4426
"5","DB_BM","best",6936
"5","DB_HR","sol",7846.81
"5","DB_HR","time",102.628997876309
"5","DB_HR","cpu",5.573
"5","DB_HR","nodes",183
"5","DB_HR","LB",7846.81
"5","DB_HR","first",48
"5","DB_HR","best",183
"6","BM","sol",5705.896
"6","BM","time",0.289000268094242
"6","BM","cpu",0.098
"6","BM","nodes",62
"6","BM","LB",5705.896
"6","HR","sol",5705.896
"6","HR","time",0.321999611333013
"6","HR","cpu",0.088
"6","HR","LB",5705.896
"6","DB_BM","sol",5705.896
"6","DB_BM","time",3882.13997769635
"6","DB_BM","cpu",53.9160000000003
"6","DB_BM","nodes",7468
"6","DB_BM","LB",5248.57930400525
"6","DB_BM","first",6599
"6","DB_BM","best",7408
"6","DB_HR","sol",5705.896
"6","DB_HR","time",1436.58702154644
"6","DB_HR","cpu",56.4410000000008
"6","DB_HR","nodes",2726
"6","DB_HR","LB",5446.52
"6","DB_HR","first",2337
"6","DB_HR","best",2721
"7","BM","sol",7645.805
"7","BM","time",0.170000083744526
"7","BM","cpu",0.129
"7","BM","nodes",288
"7","BM","LB",7645.805
"7","HR","sol",7645.805
"7","HR","time",0.337999826297164
"7","HR","cpu",0.237
"7","HR","LB",7645.805
"7","DB_BM","sol",7683.573
"7","DB_BM","time",7200.13602655381
"7","DB_BM","cpu",95.3270000000053
"7","DB_BM","nodes",12697
"7","DB_BM","LB",5295.688
"7","DB_BM","first",10390
"7","DB_BM","best",12654
"7","DB_HR","sol",7645.805
"7","DB_HR","time",6963.38799025398
"7","DB_HR","cpu",185.473000000003
"7","DB_HR","nodes",10572
"7","DB_HR","LB",7536.73891304348
"7","DB_HR","first",4802
"7","DB_HR","best",10570
"8","BM","sol",6317.236
"8","BM","time",0.938999885693192
"8","BM","cpu",0.305
"8","BM","nodes",366
"8","BM","LB",6312.03646668859
"8","HR","sol",6317.236
"8","HR","time",0.719999615103006
"8","HR","cpu",0.106
"8","HR","LB",6317.236
"8","DB_BM","sol",10000000000
"8","DB_BM","time",7200.62999704387
"8","DB_BM","cpu",70.3470000000014
"8","DB_BM","nodes",9164
"8","DB_BM","LB",4172.436
"8","DB_HR","sol",6317.236
"8","DB_HR","time",4794.01598616969
"8","DB_HR","cpu",122.193000000003
"8","DB_HR","nodes",5501
"8","DB_HR","LB",5874.976
"8","DB_HR","first",5114
"8","DB_HR","best",5494
"9","BM","sol",4710.656
"9","BM","time",0.278000277467072
"9","BM","cpu",0.113
"9","BM","nodes",70
"9","BM","LB",4710.656
"9","HR","sol",4710.656
"9","HR","time",1.21300010941923
"9","HR","cpu",0.254
"9","HR","LB",4710.656
"9","DB_BM","sol",5425.4
"9","DB_BM","time",7200.2870259108
"9","DB_BM","cpu",74.2760000000024
"9","DB_BM","nodes",10046
"9","DB_BM","LB",2425.098
"9","DB_BM","first",9102
"9","DB_BM","best",10031
"9","DB_HR","sol",4710.656
"9","DB_HR","time",795.905002020299
"9","DB_HR","cpu",37.3750000000001
"9","DB_HR","nodes",1558
"9","DB_HR","LB",4334.8725970817
"9","DB_HR","first",1291
"9","DB_HR","best",1557
"10","BM","sol",6298.273
"10","BM","time",0.358000095002353
"10","BM","cpu",0.17
"10","BM","nodes",116
"10","BM","LB",6298.273
"10","HR","sol",6298.273
"10","HR","time",0.502999685704708
"10","HR","cpu",0.074
"10","HR","LB",6298.273
"10","DB_BM","sol",6298.273
"10","DB_BM","time",4756.25999628101
"10","DB_BM","cpu",65.0979999999992
"10","DB_BM","nodes",9226
"10","DB_BM","LB",5491.907
"10","DB_BM","first",7566
"10","DB_BM","best",9139
