"iter","algo","resu","Val"
"1","BM","sol",-23293
"1","BM","time",0.0469998456537724
"1","BM","cpu",0.023
"1","BM","nodes",12
"1","BM","LB",-23293
"1","HR","sol",-23293
"1","HR","time",0.0609997194260359
"1","HR","cpu",0.028
"1","HR","LB",-23293
"1","DB_BM","sol",-23293
"1","DB_BM","time",6.50300045963377
"1","DB_BM","cpu",0.274
"1","DB_BM","nodes",45
"1","DB_BM","LB",-23326.0434782609
"1","DB_BM","first",13
"1","DB_BM","best",44
"1","DB_HR","sol",-23293
"1","DB_HR","time",47.2060021245852
"1","DB_HR","cpu",2.46599999999999
"1","DB_HR","nodes",327
"1","DB_HR","LB",-23293
"1","DB_HR","first",133
"1","DB_HR","best",327
"2","BM","sol",-55324
"2","BM","time",0.133999600075185
"2","BM","cpu",0.093
"2","BM","nodes",33
"2","BM","LB",-55324
"2","HR","sol",-55324
"2","HR","time",0.0580004649236798
"2","HR","cpu",0.028
"2","HR","LB",-55324
"2","DB_BM","sol",-55324
"2","DB_BM","time",25.7659963332117
"2","DB_BM","cpu",1.183
"2","DB_BM","nodes",150
"2","DB_BM","LB",-55324
"2","DB_BM","first",15
"2","DB_BM","best",150
"2","DB_HR","sol",-55324
"2","DB_HR","time",53.5369946155697
"2","DB_HR","cpu",3.02399999999999
"2","DB_HR","nodes",312
"2","DB_HR","LB",-55324
"2","DB_HR","first",105
"2","DB_HR","best",312
"3","BM","sol",-20212.4539473684
"3","BM","time",0.0649997731670737
"3","BM","cpu",0.042
"3","BM","nodes",16
"3","BM","LB",-20212.4539473684
"3","HR","sol",-20212.4539473684
"3","HR","time",0.129000004380941
"3","HR","cpu",0.031
"3","HR","LB",-20212.4539474394
"3","DB_BM","sol",-20212.4539473684
"3","DB_BM","time",193.427007319406
"3","DB_BM","cpu",9.0419999999999
"3","DB_BM","nodes",1340
"3","DB_BM","LB",-20776.4614559637
"3","DB_BM","first",1111
"3","DB_BM","best",1309
"3","DB_HR","sol",-20212.4539473684
"3","DB_HR","time",207.939013070427
"3","DB_HR","cpu",10.054
"3","DB_HR","nodes",1340
"3","DB_HR","LB",-20727.5255566802
"3","DB_HR","first",1111
"3","DB_HR","best",1309
"4","BM","sol",-11298.44
"4","BM","time",0.0319998012855649
"4","BM","cpu",0.011
"4","BM","LB",-11298.44
"4","HR","sol",-11298.44
"4","HR","time",0.124999950639904
"4","HR","cpu",0.019
"4","HR","LB",-11298.44
"4","DB_BM","sol",-11298.44
"4","DB_BM","time",67.2129960497841
"4","DB_BM","cpu",3.271
"4","DB_BM","nodes",418
"4","DB_BM","LB",-11300.5704109589
"4","DB_BM","first",400
"4","DB_BM","best",418
"4","DB_HR","sol",-11291.96
"4","DB_HR","time",16.3939992897213
"4","DB_HR","cpu",0.902000000000001
"4","DB_HR","nodes",106
"4","DB_HR","LB",-11298.44
"4","DB_HR","first",74
"4","DB_HR","best",106
"5","BM","sol",-14825.8
"5","BM","time",0.12200006749481
"5","BM","cpu",0.045
"5","BM","nodes",42
"5","BM","LB",-14825.8
"5","HR","sol",-14825.8
"5","HR","time",0.085000041872263
"5","HR","cpu",0.037
"5","HR","LB",-14825.8
"5","DB_BM","sol",-14825.8
"5","DB_BM","time",1.99800075497478
"5","DB_BM","cpu",0.117
"5","DB_BM","nodes",13
"5","DB_BM","LB",-16877.2736842105
"5","DB_BM","first",3
"5","DB_BM","best",8
"5","DB_HR","sol",-14825.8
"5","DB_HR","time",397.90200276766
"5","DB_HR","cpu",17.6440000000007
"5","DB_HR","nodes",2699
"5","DB_HR","LB",-14825.8
"5","DB_HR","first",2380
"5","DB_HR","best",2699
"6","BM","sol",-14248.5384615385
"6","BM","time",0.180000532418489
"6","BM","cpu",0.047
"6","BM","nodes",5
"6","BM","LB",-14248.5384615385
"6","HR","sol",-14248.5384615385
"6","HR","time",0.10000008624047
"6","HR","cpu",0.026
"6","HR","LB",-14248.5384615385
"6","DB_BM","sol",-14248.5384615385
"6","DB_BM","time",26.3340052217245
"6","DB_BM","cpu",1.175
"6","DB_BM","nodes",156
"6","DB_BM","LB",-14383.0769230769
"6","DB_BM","first",43
"6","DB_BM","best",154
"6","DB_HR","sol",-14248.5384615385
"6","DB_HR","time",25.056998594664
"6","DB_HR","cpu",1.212
"6","DB_HR","nodes",156
"6","DB_HR","LB",-14383.0769230769
"6","DB_HR","first",43
"6","DB_HR","best",154
"7","BM","sol",6112.49999999945
"7","BM","time",0.054000411182642
"7","BM","cpu",0.017
"7","BM","LB",6112.5
"7","HR","sol",6112.5
"7","HR","time",0.521000241860747
"7","HR","cpu",0.021
"7","HR","LB",6112.5
"7","DB_BM","sol",6112.5
"7","DB_BM","time",18.6510033672675
"7","DB_BM","cpu",0.928000000000001
"7","DB_BM","nodes",120
"7","DB_BM","LB",6063.83333333333
"7","DB_BM","first",85
"7","DB_BM","best",113
"7","DB_HR","sol",6112.5
"7","DB_HR","time",14.8530035745353
"7","DB_HR","cpu",0.720000000000001
"7","DB_HR","nodes",91
"7","DB_HR","LB",6109.5
"7","DB_HR","first",85
"7","DB_HR","best",91
"8","BM","sol",-27232
"8","BM","time",0.134999770671129
"8","BM","cpu",0.095
"8","BM","nodes",61
"8","BM","LB",-27258
"8","HR","sol",-27232
"8","HR","time",0.104999681934714
"8","HR","cpu",0.044
"8","HR","LB",-27232.000000023
"8","DB_BM","sol",-27232
"8","DB_BM","time",576.295980205759
"8","DB_BM","cpu",22.3189999999997
"8","DB_BM","nodes",3276
"8","DB_BM","LB",-27321.1275460718
"8","DB_BM","first",2955
"8","DB_BM","best",3273
"8","DB_HR","sol",-27205
"8","DB_HR","time",9.49000082910061
"8","DB_HR","cpu",0.588
"8","DB_HR","nodes",56
"8","DB_HR","LB",-27321.375
"8","DB_HR","first",5
"8","DB_HR","best",44
"9","BM","sol",-5851
"9","BM","time",0.23300014436245
"9","BM","cpu",0.105
"9","BM","nodes",20
"9","BM","LB",-5851.00000001
"9","HR","sol",-5851
"9","HR","time",0.529999891296029
"9","HR","cpu",0.034
"9","HR","LB",-5851
"9","DB_BM","sol",-5851
"9","DB_BM","time",15.9239989472553
"9","DB_BM","cpu",0.788000000000001
"9","DB_BM","nodes",96
"9","DB_BM","LB",-5991.125
"9","DB_BM","first",14
"9","DB_BM","best",91
"9","DB_HR","sol",-5851
"9","DB_HR","time",6.73500106204301
"9","DB_HR","cpu",0.429
"9","DB_HR","nodes",47
"9","DB_HR","LB",-5851
"9","DB_HR","first",3
"9","DB_HR","best",42
"10","BM","sol",-18440
"10","BM","time",0.0670001143589616
"10","BM","cpu",0.022
"10","BM","LB",-18440
"10","HR","sol",-18440
"10","HR","time",0.0459996750578284
"10","HR","cpu",0.016
"10","HR","LB",-18440
"10","DB_BM","sol",-18440
"10","DB_BM","time",1.84100037440658
"10","DB_BM","cpu",0.091
"10","DB_BM","nodes",13
"10","DB_BM","LB",-18689
"10","DB_BM","first",1
"10","DB_BM","best",8
"10","DB_HR","sol",-18440
"10","DB_HR","time",1.21199931018054
"10","DB_HR","cpu",0.127
"10","DB_HR","nodes",13
"10","DB_HR","LB",-18689
"10","DB_HR","first",1
"10","DB_HR","best",8
