"iter","algo","resu","Val"
"1","BM","sol",173
"1","BM","time",0.0499997287988663
"1","BM","cpu",0.025
"1","BM","nodes",18
"1","BM","LB",173
"1","HR","sol",173
"1","HR","time",0.170000083744526
"1","HR","cpu",0.063
"1","HR","nodes",70
"1","HR","LB",173
"1","DB_BM","sol",173
"1","DB_BM","time",3768.55097464286
"1","DB_BM","cpu",203.002999999963
"1","DB_BM","nodes",19468
"1","DB_BM","LB",173
"1","DB_BM","first",7324
"1","DB_BM","best",19468
"1","DB_HR","sol",173
"1","DB_HR","time",3023.1869653333
"1","DB_HR","cpu",398.513999999991
"1","DB_HR","nodes",11855
"1","DB_HR","LB",173
"1","DB_HR","first",3277
"1","DB_HR","best",11853
"2","BM","sol",210
"2","BM","time",0.085999583825469
"2","BM","cpu",0.045
"2","BM","nodes",6
"2","BM","LB",210
"2","HR","sol",210
"2","HR","time",0.329000176861882
"2","HR","cpu",0.12
"2","HR","nodes",61
"2","HR","LB",210
"2","DB_BM","sol",210
"2","DB_BM","time",2277.66802953556
"2","DB_BM","cpu",115.928000000009
"2","DB_BM","nodes",11027
"2","DB_BM","LB",209
"2","DB_BM","first",4151
"2","DB_BM","best",10994
"2","DB_HR","sol",210
"2","DB_HR","time",2234.63902208023
"2","DB_HR","cpu",286.583
"2","DB_HR","nodes",8584
"2","DB_HR","LB",209
"2","DB_HR","first",1917
"2","DB_HR","best",8544
"3","BM","sol",201
"3","BM","time",0.085000041872263
"3","BM","cpu",0.044
"3","BM","nodes",3
"3","BM","LB",201
"3","HR","sol",201
"3","HR","time",0.183999957516789
"3","HR","cpu",0.068
"3","HR","nodes",16
"3","HR","LB",201
"3","DB_BM","sol",201
"3","DB_BM","time",510.817994107492
"3","DB_BM","cpu",26.0290000000004
"3","DB_BM","nodes",2517
"3","DB_BM","LB",191
"3","DB_BM","first",877
"3","DB_BM","best",2516
"3","DB_HR","sol",201
"3","DB_HR","time",261.084004933946
"3","DB_HR","cpu",34.994
"3","DB_HR","nodes",1007
"3","DB_HR","LB",201
"3","DB_HR","first",290
"3","DB_HR","best",1006
"4","BM","sol",298
"4","BM","time",0.56800008751452
"4","BM","cpu",0.029
"4","BM","LB",298
"4","HR","sol",298
"4","HR","time",0.373000139370561
"4","HR","cpu",0.108
"4","HR","nodes",47
"4","HR","LB",298
"4","DB_BM","sol",298
"4","DB_BM","time",7106.63998054806
"4","DB_BM","cpu",261.628999999907
"4","DB_BM","nodes",25191
"4","DB_BM","LB",298
"4","DB_BM","first",4113
"4","DB_BM","best",25191
"4","DB_HR","sol",298
"4","DB_HR","time",3765.62303085811
"4","DB_HR","cpu",466.598999999965
"4","DB_HR","nodes",14736
"4","DB_HR","LB",297
"4","DB_HR","first",1735
"4","DB_HR","best",14724
"5","BM","sol",234
"5","BM","time",0.101000256836414
"5","BM","cpu",0.061
"5","BM","nodes",31
"5","BM","LB",234
"5","HR","sol",234
"5","HR","time",0.537999998778105
"5","HR","cpu",0.472
"5","HR","nodes",744
"5","HR","LB",234
"5","DB_BM","sol",234
"5","DB_BM","time",2929.11404029001
"5","DB_BM","cpu",174.436999999977
"5","DB_BM","nodes",17662
"5","DB_BM","LB",229
"5","DB_BM","first",10552
"5","DB_BM","best",17406
"5","DB_HR","sol",234
"5","DB_HR","time",2857.31096214149
"5","DB_HR","cpu",452.184999999964
"5","DB_HR","nodes",14893
"5","DB_HR","LB",229
"5","DB_HR","first",11072
"5","DB_HR","best",14641
"6","BM","sol",169
"6","BM","time",0.10000008624047
"6","BM","cpu",0.053
"6","BM","nodes",8
"6","BM","LB",169
"6","HR","sol",169
"6","HR","time",0.174000137485564
"6","HR","cpu",0.096
"6","HR","LB",169
"6","DB_BM","sol",169
"6","DB_BM","time",1518.59400419053
"6","DB_BM","cpu",103.91100000001
"6","DB_BM","nodes",10356
"6","DB_BM","LB",169
"6","DB_BM","first",7362
"6","DB_BM","best",10356
"6","DB_HR","sol",169
"6","DB_HR","time",1589.61497847922
"6","DB_HR","cpu",264.857000000004
"6","DB_HR","nodes",8352
"6","DB_HR","LB",169
"6","DB_HR","first",3407
"6","DB_HR","best",8352
"7","BM","sol",238
"7","BM","time",0.102000427432358
"7","BM","cpu",0.04
"7","BM","nodes",8
"7","BM","LB",238
"7","HR","sol",238
"7","HR","time",0.252000242471695
"7","HR","cpu",0.168
"7","HR","nodes",205
"7","HR","LB",238
"7","DB_BM","sol",238
"7","DB_BM","time",450.337019981816
"7","DB_BM","cpu",32.3120000000014
"7","DB_BM","nodes",3214
"7","DB_BM","LB",237
"7","DB_BM","first",2021
"7","DB_BM","best",3047
"7","DB_HR","sol",238
"7","DB_HR","time",1081.09101864975
"7","DB_HR","cpu",183.029000000004
"7","DB_HR","nodes",5842
"7","DB_HR","LB",238
"7","DB_HR","first",3805
"7","DB_HR","best",5842
"8","BM","sol",271
"8","BM","time",0.115000130608678
"8","BM","cpu",0.051
"8","BM","nodes",9
"8","BM","LB",271
"8","HR","sol",271
"8","HR","time",0.281999702565372
"8","HR","cpu",0.213
"8","HR","nodes",229
"8","HR","LB",271
"8","DB_BM","sol",271
"8","DB_BM","time",6269.81299922336
"8","DB_BM","cpu",317.353999999881
"8","DB_BM","nodes",32199
"8","DB_BM","LB",258
"8","DB_BM","first",3946
"8","DB_BM","best",32163
"8","DB_HR","sol",271
"8","DB_HR","time",3937.62701957021
"8","DB_HR","cpu",574.691999999925
"8","DB_HR","nodes",19226
"8","DB_HR","LB",258
"8","DB_HR","first",8160
"8","DB_HR","best",19190
"9","BM","sol",286
"9","BM","time",0.123000238090754
"9","BM","cpu",0.057
"9","BM","nodes",15
"9","BM","LB",286
"9","HR","sol",286
"9","HR","time",0.399000174365938
"9","HR","cpu",0.339
"9","HR","nodes",266
"9","HR","LB",286
"9","DB_BM","sol",384
"9","DB_BM","time",7200.49402664881
"9","DB_BM","cpu",322.491999999881
"9","DB_BM","nodes",32545
"9","DB_BM","LB",263
"9","DB_BM","first",17466
"9","DB_BM","best",29286
"9","DB_HR","sol",286
"9","DB_HR","time",6821.72792139463
"9","DB_HR","cpu",691.832999999917
"9","DB_HR","nodes",22993
"9","DB_HR","LB",274.742268041237
"9","DB_HR","first",17566
"9","DB_HR","best",22989
"10","BM","sol",168
"10","BM","time",0.105000310577452
"10","BM","cpu",0.034
"10","BM","nodes",4
"10","BM","LB",168.000000000005
"10","HR","sol",168
"10","HR","time",0.380999618209898
"10","HR","cpu",0.075
"10","HR","nodes",5
"10","HR","LB",168
"10","DB_BM","sol",168
"10","DB_BM","time",649.259973526932
"10","DB_BM","cpu",36.455000000001
"10","DB_BM","nodes",3565
"10","DB_BM","LB",168
"10","DB_BM","first",2811
"10","DB_BM","best",3565
"10","DB_HR","sol",168
"10","DB_HR","time",317.128982953727
"10","DB_HR","cpu",45.3229999999997
"10","DB_HR","nodes",1373
"10","DB_HR","LB",168
"10","DB_HR","first",659
"10","DB_HR","best",1373
