"iter","algo","resu","Val"
"1","BM","sol",-685.856618657641
"1","BM","time",2.57199998013675
"1","BM","cpu",2.445
"1","BM","nodes",1028
"1","BM","LB",-686.496142128236
"1","HR","sol",-685.85661865764
"1","HR","time",113.42900027521
"1","HR","cpu",113.327
"1","HR","nodes",414
"1","HR","LB",-685.856618657641
"1","DB_BM","sol",-685.856618657641
"1","DB_BM","time",881.955024367198
"1","DB_BM","cpu",71.7520000000015
"1","DB_BM","nodes",5310
"1","DB_BM","LB",-692.563576678997
"1","DB_BM","first",4396
"1","DB_BM","best",5308
"1","DB_HR","sol",-685.856618657641
"1","DB_HR","time",1395.94902216922
"1","DB_HR","cpu",579.472999999998
"1","DB_HR","nodes",5256
"1","DB_HR","LB",-691.286330462249
"1","DB_HR","first",4396
"1","DB_HR","best",5254
"2","BM","sol",-862.345469414112
"2","BM","time",1.04999996256083
"2","BM","cpu",0.913
"2","BM","nodes",156
"2","BM","LB",-862.345469414112
"2","HR","sol",-862.345469414112
"2","HR","time",39.5299995783716
"2","HR","cpu",39.415
"2","HR","nodes",97
"2","HR","LB",-862.742279664337
"2","DB_BM","sol",-862.345469414112
"2","DB_BM","time",667.761968448758
"2","DB_BM","cpu",59.7960000000011
"2","DB_BM","nodes",4244
"2","DB_BM","LB",-875.989217510662
"2","DB_BM","first",3903
"2","DB_BM","best",4152
"2","DB_HR","sol",-862.345469414112
"2","DB_HR","time",928.944031591527
"2","DB_HR","cpu",370.203999999999
"2","DB_HR","nodes",3965
"2","DB_HR","LB",-873.607830988735
"2","DB_HR","first",3903
"2","DB_HR","best",3960
"3","BM","sol",-601.13833588073
"3","BM","time",2.85399968270212
"3","BM","cpu",2.815
"3","BM","nodes",728
"3","BM","LB",-601.13833588073
"3","HR","sol",-601.13833588073
"3","HR","time",140.435000066645
"3","HR","cpu",140.389
"3","HR","nodes",517
"3","HR","LB",-601.13833588073
"3","DB_BM","sol",-601.13833588073
"3","DB_BM","time",663.329008687288
"3","DB_BM","cpu",70.654000000001
