"iter","algo","resu","Val"
"10","BM","sol",-329.321647450255
"10","BM","time",44.6579999523237
"10","BM","cpu",44.051
"10","BM","nodes",7527
"10","BM","LB",-329.616360562123
"10","HR","sol",-329.321647450255
"10","HR","time",7710.84699989296
"10","HR","cpu",7709.835
"10","HR","nodes",5128
"10","HR","LB",-329.629396466318
"10","DB_BM","sol",10000000000
"10","DB_BM","time",7200.04199543037
"10","DB_BM","cpu",377.358999999999
"10","DB_BM","nodes",17576
"10","DB_BM","LB",-444.487059009033
"10","DB_HR","sol",10000000000
"10","DB_HR","time",7200.32502233516
"10","DB_HR","cpu",2546.95299999999
"10","DB_HR","nodes",13015
"10","DB_HR","LB",-444.730254913381
